"Side-effect","Total","Deaths"
"Joint swelling",254,0
"Sneezing",253,0
"Depressed mood",249,0
"Pallor",249,0
"Injection site warmth",240,0
"Deep vein thrombosis",240,3
"Flatulence",230,0
"Musculoskeletal chest pain",225,0
"Mental fatigue",224,0
"Visual impairment",222,0
"Facial paralysis",219,0
"Depression",216,0
"Joint stiffness",212,0
"Vaccination site warmth",211,0
"Head discomfort",204,0
"Abnormal dreams",202,0
"Abdominal distension",197,0
"Injection site pruritus",196,0
"Muscle twitching",195,0
"Parosmia",193,0
"Sleep disorder",193,0
"Constipation",192,0
"Oral pain",192,0
"Restless legs syndrome",192,0
"Rash papular",189,0
"Discomfort",187,0
"Infection",186,3
"Death",175,175
"Blister",173,0
"Injection site rash",172,0
"Gastrointestinal pain",171,0
"Gait disturbance",167,0
"Pollakiuria",166,0
"Toothache",165,0
"Angioedema",165,0
"Retching",163,0
"Ocular hyperaemia",162,0
"Dry skin",160,0
"Asthenopia",159,0
"Dry throat",155,0
"Hyperaesthesia",151,0
"Eye pruritus",149,0
"Glossodynia",146,0
"Migraine with aura",146,0
"Injection site swelling",144,0
"Blood pressure increased",143,0
"Irritability",142,0
"Arthritis",141,0
"Breast pain",141,0
"Transient ischaemic attack",138,0
"Dermatitis allergic",138,0
"Vaginal haemorrhage",137,0
"Dry eye",135,0
"Anosmia",135,0
"Crying",134,0
"Paralysis",134,0
"Facial pain",133,0
"Fibromyalgia",133,0
"Pharyngeal swelling",132,0
"Photopsia",130,0
"Panic attack",130,0
"Dysarthria",129,1
"Blood glucose increased",127,0
"Skin temperature",124,0
"Spinal pain",123,0
"Local reaction",121,0
"Skin reaction",121,0
"Hypopnoea",119,0
"Atrial fibrillation",117,0
"Eye irritation",117,0
"Diplopia",117,0
"Menorrhagia",117,0
"Abdominal pain lower",116,0
"Sinusitis",116,0
"Epilepsy",115,0
"Oxygen saturation decreased",113,0
"Gingival pain",112,0
"Lacrimation increased",111,0
"Body temperature fluctuation",109,0
"Agitation",107,0
"COVID-19 immunisation",107,1
"Fall",106,1
"Amnesia",106,0
"Haemorrhage",105,2
"Maternal exposure during pregnancy",104,0
"Throat irritation",103,0
"Gastrooesophageal reflux disease",102,0
"Condition aggravated",102,0
"Pulmonary pain",102,0
"Miliaria",100,0
"Dysphagia",98,1
"Freezing phenomenon",98,0
"Throat tightness",98,0
"Gait inability",95,0
"Deafness",94,0
"Vomiting projectile",94,0
"Feeding disorder",94,0
"Hyperglycaemia",94,0
"Memory impairment",94,0
"Hypersomnia",92,0
"Cardiac flutter",90,0
"Groin pain",90,0
"Myocardial infarction",87,23
"Heart rate irregular",86,0
"Hangover",85,0
"Urinary tract infection",85,0
"Dermatitis",85,0
"Photosensitivity reaction",84,0
"Thrombocytopenia",83,1
"Lower respiratory tract infection",83,3
"Listless",82,0
"Productive cough",80,0
"Vaccination site rash",78,0
"Q fever",77,0
"Body temperature decreased",77,0
"Muscle tightness",77,0
"Periarthritis",76,0
"Eczema",75,0
"Pneumonia",74,14
"Neuropathy peripheral",74,0
"Sensory loss",74,0
"Menstruation delayed",74,0
"Hypoacusis",73,0
"Blindness",73,0
"Vaccination site bruising",73,0
"Guillain-Barre syndrome",73,1
"Injection site reaction",72,0
"Feeling drunk",70,0
"Rheumatoid arthritis",70,0
"Dysphonia",70,0
"Injection site bruising",69,0
"Cardiac arrest",67,14
"Mouth swelling",66,0
"Menstruation irregular",66,0
"Weight decreased",65,0
"Skin discolouration",65,0
"Anaphylactic shock",63,0
"Hypoglycaemia",63,0
"Mobility decreased",63,0
"Musculoskeletal discomfort",63,0
"Micturition urgency",62,0
"Urinary incontinence",62,0
"Angina pectoris",61,0
"Vaccination site pruritus",61,0
"Chromaturia",61,0
"Vaccination complication",60,0
"Skin irritation",59,0
"Immune thrombocytopenia",58,1
"Arrhythmia",58,0
"Tearfulness",57,0
"Respiration abnormal",57,1
"Nasal discomfort",57,0
"Skin sensitisation",57,0
"Cyanosis",57,0
"Localised infection",56,0
"Sciatica",56,0
"Cognitive disorder",56,1
"Dizziness exertional",55,0
"Menstrual disorder",55,0
"Piloerection",55,0
"Limb injury",54,0
"Coordination abnormal",54,0
"Dyskinesia",54,0
"Immunisation",54,0
"Raynaud's phenomenon",54,0
"Labyrinthitis",53,0
"Mental impairment",52,0
"Febrile convulsion",52,0
"Skin swelling",52,0
"Monoplegia",51,0
"Pelvic pain",51,0
"Hyperacusis",50,0
"Petechiae",50,0
"Motion sickness",49,0
"Unresponsive to stimuli",49,0
"Psoriasis",49,0
"Eructation",48,0
"Stomatitis",48,0
"Emotional disorder",48,0
"Skin exfoliation",48,0
"Heart rate decreased",47,0
"Body temperature abnormal",47,0
"Cerebral venous sinus thrombosis",46,5
"Testicular pain",46,0
"Chronic fatigue syndrome",45,0
"SARS-CoV-2 test positive",45,0
"Cerebral haemorrhage",45,17
"Dysuria",45,0
"Yawning",45,0
"Circulatory collapse",45,1
"Extrasystoles",44,0
"Sinus tachycardia",44,1
"Vitreous floaters",44,0
"Hyperventilation",44,0
"Alopecia",44,0
"Bedridden",44,0
"Periorbital swelling",43,0
"Gingival bleeding",43,0
"Post viral fatigue syndrome",43,0
"Respiratory rate increased",43,0
"Dysstasia",43,0
"Irritable bowel syndrome",42,0
"Oral discomfort",42,0
"Platelet count decreased",42,0
"Incontinence",42,0
"Swelling of eyelid",41,0
"Gout",41,0
"Flank pain",41,0
"Depressed level of consciousness",41,0
"Neurological symptom",41,0
"Bradyphrenia",41,0
"Urinary retention",41,0
"Drug hypersensitivity",40,0
"Blood pressure measurement",40,0
"Facial paresis",40,0
"Suicidal ideation",40,0
"Neutropenia",39,0
"Aphthous ulcer",39,0
"Injection site inflammation",39,0
"Cystitis",39,0
"Gastroenteritis viral",39,0
"Blood pressure decreased",39,0
"Gastritis",38,0
"Skin infection",38,0
"Aphasia",38,0
"Euphoric mood",38,0
"Vertigo positional",37,0
"Crohn's disease",37,0
"Lip pain",37,0
"Oedema peripheral",37,0
"Vaccination site induration",37,0
"Generalised tonic-clonic seizure",37,0
"Monoparesis",37,0
"Bradycardia",36,0
"Conjunctivitis",36,0
"Sepsis",36,4
"Diabetes mellitus",36,0
"Food aversion",36,0
"Vascular headache",36,0
"Allodynia",36,0
"Middle insomnia",36,0
"Aphonia",36,0
"Colitis ulcerative",35,0
"Salivary hypersecretion",35,0
"Mass",35,0
"Hepatic pain",35,0
"Magnetic resonance imaging brain",35,0
"International normalised ratio increased",35,0
"Musculoskeletal pain",35,0
"Dysmenorrhoea",35,0
"Sinus congestion",35,0
"Catarrh",35,0
"Lip dry",34,0
"Hypothermia",34,0
"Temperature intolerance",34,0
"Vaccination site inflammation",34,0
"Trismus",34,0
"Status epilepticus",34,1
"Sensory disturbance",34,0
"Hypoxia",34,0
"Haematoma",34,0
"Ear discomfort",33,0
"Haematochezia",33,0
"Puncture site bruise",33,0
"Hunger",33,0
"Tonsillitis",33,0
"Bursitis",33,0
"Anger",33,0
"Emotional distress",33,0
"Ear swelling",32,0
"Hyperpyrexia",32,0
"Fluid retention",32,0
"Multiple sclerosis",32,0
"Sleep terror",32,0
"Erectile dysfunction",32,0
"Tonsillar hypertrophy",32,0
"Haematemesis",31,0
"Viral rash",31,0
"Ischaemic stroke",31,1
"Hallucination, visual",31,0
"Rash vesicular",31,0
"Administration site pain",30,0
"Drug ineffective",30,0
"Therapeutic response unexpected",30,0
"Vaccination site joint pain",30,0
"Withdrawal syndrome",30,0
"Urine output",30,0
"Movement disorder",30,0
"Hemiparesis",30,0
"Shock",30,0
"Lymphoedema",30,0
"Conjunctival haemorrhage",29,0
"Blepharospasm",29,0
"No reaction on previous exposure to drug",29,0
"Allergy to vaccine",29,0
"Thermal burns of eye",29,0
"Metrorrhagia",29,0
"Haemoptysis",29,0
"Formication",28,0
"Partial seizures",28,0
"Mood altered",28,0
"Rectal haemorrhage",27,0
"Chillblains",27,0
"Nerve injury",27,0
"Thermal burn",27,0
"Blood glucose decreased",27,0
"Increased appetite",27,0
"Retinal migraine",27,0
"Dissociation",27,0
"Nasal dryness",27,0
"Increased tendency to bruise",26,0
"Injection site joint pain",26,0
"Post procedural complication",26,0
"Food refusal",26,0
"Muscle rigidity",26,0
"Migraine without aura",26,0
"Tachypnoea",26,0
"Skin odour abnormal",26,0
"Purpura",26,1
"Vascular pain",26,0
"Faeces discoloured",25,0
"Tongue discomfort",25,0
"Infectious mononucleosis",25,0
"Cold-stimulus headache",25,0
"Multiple sclerosis relapse",25,0
"Trigeminal neuralgia",25,0
"Bladder pain",25,0
"Hypomenorrhoea",25,0
"Rash maculo-papular",25,0
"Injection",25,0
"Vasodilatation",25,0
"Hyperaesthesia teeth",24,0
"Injection site urticaria",24,0
"Vaccination site movement impairment",24,0
"Heart rate abnormal",24,0
"Appetite disorder",24,0
"Sleep deficit",24,0
"Morning sickness",24,0
"Mood swings",24,0
"Enuresis",24,0
"Head banging",24,0
"Paranasal sinus discomfort",24,0
"Gingival swelling",23,0
"Sensation of foreign body",23,0
"Candida infection",23,0
"Rhinitis",23,0
"Coronavirus test",23,0
"Polymyalgia rheumatica",23,0
"Psychomotor hyperactivity",23,0
"Speech disorder",23,0
"Tension",23,0
"Delusion",23,0
"Habit cough",23,0
"Acne",23,0
"Skin erosion",23,0
"Thrombophlebitis",23,0
"Orthostatic hypotension",23,0
"Ocular discomfort",22,0
"Abdominal rigidity",22,0
"Frequent bowel movements",22,0
"Application site pain",22,0
"Injected limb mobility decreased",22,0
"International normalised ratio decreased",22,0
"Blood urine present",22,0
"Papule",22,0
"Prophylaxis of nausea and vomiting",22,0
"Adrenocortical insufficiency acute",21,0
"Tongue coated",21,0
"Loss of control of legs",21,0
"Injection site oedema",21,0
"Ear infection",21,0
"Foetal exposure during pregnancy",21,0
"Procedural nausea",21,0
"Diabetes mellitus inadequate control",21,0
"Joint lock",21,0
"Stress",21,0
"Apathy",21,0
"Breast swelling",21,0
"Amenorrhoea",21,0
"Chronic obstructive pulmonary disease",21,2
"Hiccups",21,0
"Livedo reticularis",21,0
"Varicose vein",21,0
"Pericarditis",20,0
"Vaccination site discomfort",20,0
"Procedural dizziness",20,0
"Myelitis transverse",20,0
"Panic reaction",20,0
"Polyuria",20,0
"Rhinalgia",20,0
"Immobile",20,0
"Eye movement disorder",19,0
"Lip blister",19,0
"Oral blood blister",19,0
"Seasonal allergy",19,0
"Gastroenteritis",19,0
"Asymptomatic COVID- 0",19,3
"COVID- 16",19,253
"Suspected COVID- 0",19,20
"Genital herpes",19,0
"Kidney infection",19,0
"Blood glucose fluctuation",19,0
"Abnormal loss of weight",19,0
"Axillary mass",19,0
"Hypokinesia",19,0
"Acute kidney injury",19,0
"Drug eruption",19,0
"Cardiac disorder",18,0
"Pancreatitis",18,1
"Cheilitis",18,0
"Tongue ulceration",18,0
"Feeling jittery",18,0
"Oedema",18,0
"Jaundice",18,0
"Eye contusion",18,0
"Tendonitis",18,0
"Pharyngeal paraesthesia",18,0
"Giant cell arteritis",18,0
"Vasculitis",18,0
"Foreign body sensation in eyes",17,0
"Anal incontinence",17,0
"Oral mucosal blistering",17,0
"Sudden death",17,17
"Face oedema",17,0
"Non-cardiac chest pain",17,0
"Furuncle",17,0
"Viral infection",17,0
"Grip strength decreased",17,0
"Hypophagia",17,0
"Petit mal epilepsy",17,0
"Tonic convulsion",17,0
"Hallucination, auditory",17,0
"Loss of libido",17,0
"Haematuria",17,0
"Breast tenderness",17,0
"Pharyngeal hypoaesthesia",17,0
"Hypothyroidism",16,0
"Odynophagia",16,0
"Tongue disorder",16,0
"Tongue blistering",16,0
"Application site erythema",16,0
"Vaccination site reaction",16,0
"Infusion related reaction",16,0
"Oxygen saturation",16,0
"Blood glucose",16,0
"SARS-CoV-2 test",16,0
"Rotator cuff syndrome",16,0
"Osteoarthritis",16,0
"Extrapyramidal disorder",16,0
"Psychotic disorder",16,0
"Urine odour abnormal",16,0
"Vaginal discharge",16,0
"Dyspnoea exertional",16,0
"Irregular breathing",16,0
"Blood blister",16,0
"Yellow skin",16,0
"Bed rest",16,0
"Poor peripheral circulation",16,0
"Anaemia",15,0
"Cardiac failure",15,4
"Acute myocardial infarction",15,2
"Atrial flutter",15,0
"Supraventricular tachycardia",15,0
"Sudden hearing loss",15,0
"Eye haemorrhage",15,0
"Abnormal sensation in eye",15,0
"Gingival blister",15,0
"Ulcer",15,0
"Vulvovaginal candidiasis",15,0
"Herpes simplex",15,0
"Diabetic ketoacidosis",15,2
"Ankylosing spondylitis",15,0
"Sleep paralysis",15,0
"Thunderclap headache",15,0
"Abortion spontaneous",15,0
"Tachyphrenia",15,0
"Postmenopausal haemorrhage",15,0
"Rash morbilliform",15,0
"Skin mass",15,0
"Phlebitis",15,0
"Eye inflammation",14,0
"Metamorphopsia",14,0
"Colitis",14,0
"Haemorrhoids",14,0
"Allergic oedema",14,0
"Serum sickness",14,0
"Sensitisation",14,0
"Oral candidiasis",14,0
"COVID-19 pneumonia",14,6
"Viral pharyngitis",14,0
"Pulse abnormal",14,0
"Blood test",14,0
"Joint warmth",14,0
"Muscle swelling",14,0
"Psoriatic arthropathy",14,0
"Arthritis reactive",14,0
"Breast cancer",14,0
"Haemorrhage intracranial",14,1
"Haemorrhagic stroke",14,3
"Facial spasm",14,0
"Paranoia",14,0
"Initial insomnia",14,0
"Mania",14,0
"Polymenorrhoea",14,0
"Sleep apnoea syndrome",14,0
"Oropharyngeal discomfort",14,0
"Skin tightness",14,0
"Limb immobilisation",14,0
"Lymphadenitis",13,0
"Eyelid ptosis",13,0
"Teething",13,0
"Breath odour",13,0
"Application site bruise",13,0
"Secretion discharge",13,0
"Adverse reaction",13,0
"Vaccination site cellulitis",13,0
"Abscess",13,0
"Vaccination site infection",13,0
"Costochondritis",13,0
"Cerebral infarction",13,1
"Subarachnoid haemorrhage",13,1
"Bradykinesia",13,0
"Clumsiness",13,0
"Hypotonia",13,0
"Muscle spasticity",13,0
"Oversensing",13,0
"Autoscopy",13,0
"Bruxism",13,0
"Stridor",13,0
"Pleurisy",13,0
"Deafness unilateral",12,0
"Meniere's disease",12,0
"Eye discharge",12,0
"Diarrhoea haemorrhagic",12,0
"Noninfective gingivitis",12,0
"Discoloured vomit",12,0
"Mouth haemorrhage",12,0
"Oral mucosal eruption",12,0
"Oral pruritus",12,0
"Inflammatory pain",12,0
"Extensive swelling of vaccinated limb",12,0
"Hordeolum",12,0
"Laryngitis",12,0
"Pharyngitis",12,0
"Sunburn",12,0
"Respiratory rate decreased",12,0
"Analgesic drug level",12,0
"Blood urine",12,0
"Joint noise",12,0
"Systemic lupus erythematosus",12,0
"Nerve compression",12,0
"Myoclonus",12,0
"Persistent postural-perceptual dizziness",12,0
"Muscle contractions involuntary",12,0
"Diplegia",12,0
"Hemiplegia",12,0
"Facial neuralgia",12,0
"Major depression",12,0
"Thinking abnormal",12,0
"Breast mass",12,0
"Oropharyngeal blistering",12,0
"Upper-airway cough syndrome",12,0
"Vasculitic rash",12,0
"Embolism",12,0
"Myocardial ischaemia",11,4
"Uveitis",11,0
"Mydriasis",11,0
"Proctalgia",11,0
"Gastrointestinal disorder",11,0
"Anal haemorrhage",11,0
"Small intestinal haemorrhage",11,0
"Lip ulceration",11,0
"Tongue discolouration",11,0
"Puncture site pain",11,0
"Drug interaction",11,0
"Vaccination site hypoaesthesia",11,0
"Serum sickness-like reaction",11,0
"Anaphylactoid reaction",11,0
"Bacterial infection",11,1
"Gingivitis",11,0
"Exposure via breast milk",11,0
"Muscle strain",11,0
"Electric shock",11,0
"Heart sounds",11,0
"Liver function test abnormal",11,0
"Type 1 diabetes mellitus",11,0
"Tendon pain",11,0
"Drug withdrawal headache",11,0
"Nervous system disorder",11,0
"Phantom limb syndrome",11,0
"Slow speech",11,0
"Nipple pain",11,0
"Bronchospasm",11,0
"Pulmonary congestion",11,0
"Rosacea",11,0
"Myocarditis",10,1
"Adrenal insufficiency",10,0
"Vitreous detachment",10,0
"Eye allergy",10,0
"Dental paraesthesia",10,0
"Glossitis",10,0
"Tongue dry",10,0
"Tongue oedema",10,0
"No adverse event",10,0
"Sluggishness",10,0
"Temperature regulation disorder",10,0
"Energy increased",10,0
"General physical health deterioration",10,1
"Induration",10,0
"Injection site paraesthesia",10,0
"Overdose",10,0
"SARS-CoV-2 test negative",10,0
"Food craving",10,0
"Polydipsia",10,0
"Nuchal rigidity",10,0
"Dementia",10,0
"Hemiplegic migraine",10,0
"Visual field defect",10,0
"Parkinson's disease",10,0
"Dreamy state",10,0
"Thrombosis in device",10,0
"Sleep talking",10,0
"Post-traumatic stress disorder",10,0
"Haemorrhage urinary tract",10,0
"Organic erectile dysfunction",10,0
"Respiratory arrest",10,0
"Pneumonia aspiration",10,3
"Pneumonitis",10,0
"Pleuritic pain",10,0
"Pharyngeal oedema",10,0
"Pulmonary oedema",10,0
"Respiratory symptom",10,0
"Increased viscosity of upper respiratory secretion",10,0
"Skin ulcer",10,0
"Urticaria chronic",10,0
"Blue toe syndrome",10,0
"Coagulopathy",9,0
"Tachyarrhythmia",9,0
"Arrhythmia supraventricular",9,0
"Ventricular tachycardia",9,0
"Hypoaesthesia eye",9,0
"Gastrointestinal sounds abnormal",9,0
"Epigastric discomfort",9,0
"Faeces soft",9,0
"Abdominal tenderness",9,0
"Lip pruritus",9,0
"Administration site bruise",9,0
"Instillation site warmth",9,0
"Biliary colic",9,0
"Sarcoidosis",9,0
"Bacille Calmette-Guerin scar reactivation",9,0
"Varicella",9,0
"Heat oedema",9,0
"Expired product administered",9,0
"Blood pH",9,0
"Blood glucose abnormal",9,0
"Blood ketone body",9,0
"Urine output decreased",9,0
"Hyponatraemia",9,0
"Myofascial pain syndrome",9,0
"Trigger finger",9,0
"Cerebral thrombosis",9,2
"Hyperkinesia",9,0
"Carpal tunnel syndrome",9,0
"Narcolepsy",9,0
"Burning feet syndrome",9,0
"Restless arm syndrome",9,0
"Depersonalisation/derealisation disorder",9,0
"Feeling of despair",9,0
"Derealisation",9,0
"Dysphemia",9,0
"Oliguria",9,0
"Urine abnormality",9,0
"Nocturia",9,0
"Vulvovaginal pain",9,0
"Bronchiectasis",9,0
"Rhinitis allergic",9,0
"Diaphragmalgia",9,0
"Choking",9,0
"Erythema multiforme",9,0
"Scab",9,0
"Skin disorder",9,0
"Dermatitis atopic",9,0
"Ear congestion",8,0
"Dental discomfort",8,0
"Abnormal faeces",8,0
"Acute abdomen",8,0
"Gingival disorder",8,0
"Palatal swelling",8,0
"Application site pruritus",8,0
"Exercise tolerance decreased",8,0
"Screaming",8,0
"Injection site discomfort",8,0
"Injection site hypoaesthesia",8,0
"Inadequate analgesia",8,0
"Vaccination site irritation",8,0
"Hepatitis",8,0
"Multiple allergies",8,0
"Immune system disorder",8,0
"Appendicitis",8,0
"Encephalitis",8,0
"Meningitis",8,0
"Parotitis",8,0
"Herpes ophthalmic",8,0
"Bronchitis",8,0
"Rash pustular",8,0
"Muscle injury",8,0
"Arthropod sting",8,0
"Head injury",8,0
"Cardiac murmur",8,0
"Blood test abnormal",8,0
"Urine analysis abnormal",8,0
"pH urine",8,0
"SARS-CoV-2 antibody test negative",8,0
"White blood cell count",8,0
"White blood cell count decreased",8,0
"Arthropathy",8,0
"Neck mass",8,0
"Superior sagittal sinus thrombosis",8,1
"Ataxia",8,0
"Nystagmus",8,0
"Altered state of consciousness",8,0
"Akathisia",8,0
"Dystonia",8,0
"Tunnel vision",8,0
"Hyposmia",8,0
"Optic neuritis",8,0
"Aura",8,0
"Fear",8,0
"Hypertonic bladder",8,0
"Loss of bladder sensation",8,0
"Endometriosis",8,0
"Pharyngeal ulceration",8,0
"Guttate psoriasis",8,0
"Sight disability",8,0
"Venous thrombosis",8,0
"Thrombophlebitis superficial",8,0
"Antiphospholipid syndrome",7,0
"Eosinophilia",7,0
"Atrioventricular block",7,0
"Paroxysmal extreme pain disorder",7,0
"Excessive cerumen production",7,0
"External ear pain",7,0
"Eyelid oedema",7,0
"Periorbital oedema",7,0
"Halo vision",7,0
"Reflux gastritis",7,0
"Functional gastrointestinal disorder",7,0
"Change of bowel habit",7,0
"Defaecation urgency",7,0
"Gastrointestinal haemorrhage",7,0
"Oral disorder",7,0
"Lip exfoliation",7,0
"Parotid gland enlargement",7,0
"Thirst decreased",7,0
"General symptom",7,0
"Vaccination site paraesthesia",7,0
"Vaccination site urticaria",7,0
"Portal vein thrombosis",7,0
"Reaction to preservatives",7,0
"Mastitis",7,0
"Herpes virus infection",7,0
"Injection site infection",7,0
"Subcutaneous abscess",7,0
"Vestibular neuronitis",7,0
"Accidental exposure to product",7,0
"Clavicle fracture",7,0
"Medication error",7,0
"Ligament sprain",7,0
"Wound complication",7,0
"Incision site pain",7,0
"Respiratory rate",7,0
"Weight increased",7,0
"Forced expiratory volume increased",7,0
"Fluid intake reduced",7,0
"Myositis",7,0
"Rheumatic disorder",7,0
"Coma",7,0
"Vestibular migraine",7,0
"Drooling",7,0
"Parkinsonism",7,0
"Head titubation",7,0
"Attention deficit hyperactivity disorder",7,0
"Daydreaming",7,0
"Decreased interest",7,0
"Illusion",7,0
"Hypervigilance",7,0
"Bladder disorder",7,0
"Renal failure",7,1
"Adnexa uteri pain",7,0
"Apnoea",7,0
"Dyspnoea at rest",7,0
"Mouth breathing",7,0
"Skin induration",7,0
"Skin lesion",7,0
"Exfoliative rash",7,0
"Pityriasis rosea",7,0
"Skin haemorrhage",7,0
"Neurogenic shock",7,0
"Hypercoagulation",6,0
"Angina unstable",6,0
"Postural orthostatic tachycardia syndrome",6,0
"Cataract",6,0
"Dyschromatopsia",6,0
"Eye disorder",6,0
"Retinal vein occlusion",6,0
"Visual acuity reduced",6,0
"Mouth cyst",6,0
"Chapped lips",6,0
"Hyperthermia",6,0
"Moaning",6,0
"Infusion site pain",6,0
"Injection site indentation",6,0
"Injection site joint erythema",6,0
"Cyst",6,0
"Facial discomfort",6,0
"Autoimmune disorder",6,0
"Injection site cellulitis",6,0
"Nasal herpes",6,0
"Meningitis viral",6,0
"Eye injury",6,0
"Muscle rupture",6,0
"Post lumbar puncture syndrome",6,0
"Vaccination failure",6,0
"Lumbar puncture",6,0
"Head lag",6,0
"Urine output increased",6,0
"Food intolerance",6,0
"Abnormal weight gain",6,0
"Poor feeding infant",6,0
"Insulin resistance",6,0
"Medial tibial stress syndrome",6,0
"Temporomandibular joint syndrome",6,0
"Muscle discomfort",6,0
"Torticollis",6,0
"Motor dysfunction",6,0
"Medication overuse headache",6,0
"Brain oedema",6,0
"Intellectual disability",6,0
"Transient global amnesia",6,0
"Typical aura without headache",6,0
"Clonic convulsion",6,0
"Complex regional pain syndrome",6,0
"Brain injury",6,0
"Abnormal behaviour",6,0
"Staring",6,0
"Inappropriate affect",6,0
"Fear of death",6,0
"Hallucinations, mixed",6,0
"Genital ulceration",6,0
"Testicular swelling",6,0
"Uterine haemorrhage",6,0
"Vulvovaginal burning sensation",6,0
"Nasal oedema",6,0
"Respiratory failure",6,2
"Skin fissures",6,0
"Drug reaction with eosinophilia and systemic symptoms",6,0
"Mass excision",6,0
"Blood pressure fluctuation",6,0
"Disseminated intravascular coagulation",5,0
"Lymphopenia",5,0
"Pancytopenia",5,0
"Thrombocytopenic purpura",5,0
"Cardiovascular insufficiency",5,0
"Cardiac discomfort",5,0
"Congestive cardiomyopathy",5,0
"Red ear syndrome",5,0
"Vertigo labyrinthine",5,0
"Eye colour change",5,0
"Iridocyclitis",5,0
"Eyelid pain",5,0
"Episcleritis",5,0
"Mucous stools",5,0
"Gastric dilatation",5,0
"Dyschezia",5,0
"Oesophagitis",5,0
"Burning mouth syndrome",5,0
"Oral mucosal exfoliation",5,0
"Lip oedema",5,0
"Tongue movement disturbance",5,0
"Sensation of blood flow",5,0
"Multiple organ dysfunction syndrome",5,0
"Injection site vesicles",5,0
"Nodule",5,0
"Localised oedema",5,0
"Shoulder injury related to vaccine administration",5,0
"Vaccination site discolouration",5,0
"Vaccination site granuloma",5,0
"Vaccination site joint movement impairment",5,0
"Cholecystitis",5,0
"Reaction to excipient",5,0
